,comp2,comp3,comp4
Mononucl_epi,0.018340435135947835,0.07006134756752991,-0.05932997395967794
CD45_Epi,-0.0027729017098495293,-0.04201222482603635,0.1247601197459089
pACC_liver,-0.034812014884855545,0.01803418047270104,0.03488409531153557
pHSL_epi,0.004657033355742201,-0.020123622514433528,-0.027964319026793798
pAKT_epi,0.002495305818557949,0.0059760142153873945,-0.0043775491476619344
IL1b_epi,0.015740352616726228,0.010509108961889134,0.04788508014388433
pACC_SCfat,-0.028874908795443355,-0.0331043138649351,0.08197675481081737
CS_epi,0.0037066353534108924,0.0048381172030269,-0.027473569702717256
ALT_gastro,0.014663711236589532,-0.014674434910510169,-0.004998020632458416
Glycogen_liver,0.01701912716591525,-0.001730221872233484,-0.1738547917621096
